color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,Comedy,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
blue,Brad Bird,283,115,663,55,Craig T. Nelson,1000,261437578,Action|Adventure|Sci-Fi,Holly Hunter,The Incredibles,479166,1901,Lou Romano,0,hero|island|lawsuit|secret|superhero,http://www.imdb.com/title/tt0317705/?ref_=fn_tt_tt_1,815,English,USA,PG,92000000,2004,723,8,2.35,0
blue,Ron Howard,294,174,2000,362,Seth Gabel,15000,64423650,Drama|Horror|Sci-Fi|Thriller,Tom Hanks,The Da Vinci Code ,314253,16008,JÃ¼rgen Prochnow,2,based on supposedly true story|holy grail|mary magdalene|opus dei|secret,http://www.imdb.com/title/tt0382625/?ref_=fn_tt_tt_1,1966,English,USA,PG-13,125000000,2006,574,6.6,2.35,0
blue,James Cameron,723,178,0,855,Joel David Moore,1000,760505847,Action,CCH Pounder,Avatar,886204,4834,Wes Studi,0,avatar|future|marine|native|paraplegic,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,3054,English,USA,PG-13,237000000,2009,936,7.9,1.78,33000
blue,Dennis Iliadis,241,114,29,616,Monica Potter,956,32721635,Comedy|History,Tony Goldwyn,The Last House on the Left,67824,3861,Martha MacIsaac,0,kidnapping|lake|microwave oven|psychopath|woods,http://www.imdb.com/title/tt0844708/?ref_=fn_tt_tt_1,279,English,USA,R,15000000,2009,878,6.6,1.85,0
blue,Joss Whedon,703,173,0,19000,Robert Downey Jr.,26000,623279547,Action|Adventure,Chris Hemsworth,The Avengers,995415,87697,Scarlett Johansson,3,alien invasion|assassin|battle|iron man|soldier,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,1722,English,USA,PG-13,220000000,2012,21000,8.1,1.85,123000
blue,Tim Burton,451,108,13000,11000,Alan Rickman,40000,204565000,Drama|Thriller,Johnny Depp,Alice in Wonderland,306336,79957,Anne Hathaway,0,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,736,English,USA,PG,200000000,2010,25000,6.5,1.85,24000
blue,Neill Blomkamp,472,112,662,107,Jed Brophy,2000,115646235,Adventure|Sci-Fi|Thriller,Sharlto Copley,District 9,531737,2639,Jason Cope,0,alien|ghetto|prawn|refugee|refugee camp,http://www.imdb.com/title/tt1136608/?ref_=fn_tt_tt_1,1262,English,South Africa,R,30000000,2009,433,8,1.85,22000
blue,Dennis Dugan,179,102,221,4000,Adam Sandler,12000,162001186,Action|Comedy|Crime,Steve Buscemi,Grown Ups,181443,28497,Salma Hayek,4,basketball|coach|daughter|high school|high school basketball,http://www.imdb.com/title/tt1375670/?ref_=fn_tt_tt_1,311,English,USA,PG-13,80000000,2010,11000,6,1.85,12000
orange,Tim Miller,579,108,84,361,Ed Skrein,16000,363024263,Action|Crime|Thriller,Ryan Reynolds,Deadpool,479047,18239,Stefan Kapicic,0,based on comic book|breaking the fourth wall|mercenary|mutant|self healing,http://www.imdb.com/title/tt1431045/?ref_=fn_tt_tt_1,1058,English,USA,R,58000000,2016,805,8.1,2.35,117000
orange,James Wan,511,112,0,697,Lili Taylor,6000,96471845,Fantasy|Horror|Thriller,Mackenzie Foy,The Conjuring ,300110,9049,Hayley McFarland,0,based on true story|farmhouse|paranormal investigator|rhode island|supernatural power,http://www.imdb.com/title/tt1457767/?ref_=fn_tt_tt_1,807,English,USA,R,20000000,2013,960,7.5,2.35,131000
orange,Kenneth Branagh,343,105,0,502,Derek Jacobi,2000,201148159,Horror,Hayley Atwell,Cinderella,103749,4671,Lily James,1,dress|duke|fairy godmother|fairy tale|pumpkin,http://www.imdb.com/title/tt1661199/?ref_=fn_tt_tt_1,323,English,USA,PG,95000000,2015,520,7,2.35,56000
orange,Pierre Coffin,306,98,275,1000,Miranda Cosgrove,7000,368049635,Action|Comedy,Steve Carell,Despicable Me 2,286877,11905,Steve Coogan,0,dating|minion|overprotective father|undercover spy|woman agent,http://www.imdb.com/title/tt1690953/?ref_=fn_tt_tt_1,284,English,USA,PG,76000000,2013,2000,7.5,1.85,56000
orange,James DeMonaco,361,85,65,535,Adelaide Kane,942,79568000,Crime|Horror|Thriller,Rhys Wakefield,The Purge ,139329,3708,Chris Mulkey,0,class differences|killing spree|one night|suburb|violence,http://www.imdb.com/title/tt2184339/?ref_=fn_tt_tt_1,578,English,USA,R,3000000,2013,810,5.7,2.35,31000
orange,Stephen Frears,354,98,350,322,Mare Winningham,1000,290158751,Sci-Fi|Thriller,Steve Coogan,Philomena,76094,2376,Peter Hermann,2,catholic|convent|gay love|gay relationship|irish adoption board,http://www.imdb.com/title/tt2431286/?ref_=fn_tt_tt_1,233,English,UK,PG-13,12000000,2013,482,7.6,1.85,37000
orange,Olivier Megaton,222,115,118,482,Dougray Scott,14000,89253340,Action|Horror|Thriller,Liam Neeson,Taken 3,133436,16967,Jon Gries,0,betrayal|death|final showdown|murder|on the run,http://www.imdb.com/title/tt2446042/?ref_=fn_tt_tt_1,323,English,France,PG-13,48000000,2014,794,6,2.35,38000
orange,Judd Apatow,332,129,0,213,Randall Park,492,110008260,Adventure|Comedy|Sci-Fi,Amy Schumer,Trainwreck,94241,1450,Josh Segarra,1,actress playing herself|actress shares first name with character|fired from a job|male nudity|written by star,http://www.imdb.com/title/tt3152624/?ref_=fn_tt_tt_1,309,English,Japan,R,35000000,2015,392,6.3,2.35,25000
orange,M. Night Shyamalan,371,94,0,99,Patch Darragh,432,65069140,Drama,Ocean James,The Visit ,65299,1010,Olivia DeJonge,,farm|handheld camera|impostor|rap|rock paper scissors,http://www.imdb.com/title/tt3567288/?ref_=fn_tt_tt_1,455,English,USA,PG-13,5000000,2015,309,6.2,1.85,27000
orange,Ridley Scott,568,151,0,372,Donald Glover,13000,228430993,Action|Adventure|Fantasy|Sci-Fi,Matt Damon,The Martian,472488,14831,Benedict Wong,1,astronaut|international cooperation|left for dead|nasa|space habitat,http://www.imdb.com/title/tt3659388/?ref_=fn_tt_tt_1,1023,English,USA,PG-13,108000000,2015,801,8.1,2.35,153000
